SYMBOL	L2_D01_T1	L2_D01_T2	L2_D02_T1	L2_D02_T2	L2_D03_T1	L2_D03_T2	L2_D04_T1	L2_D04_T2	L2_D05_T1	L2_D05_T2	L2_D06_T1	L2_D06_T2	L2_D07_T1	L2_D07_T2	L2_D08_T1	L2_D08_T2	L2_D09_T1	L2_D09_T2	L2_D10_T1	L2_D10_T2	L2_D11_T1	L2_D11_T2	L2_D12_T1	L2_D12_T2	L2_D13_T1	L2_D13_T2	L2_D14_T1	L2_D14_T2	L2_D15_T1	L2_D15_T2	L2_D16_T1	L2_D16_T2
CD3D	20.24	22.668	31.781	24.219	28.681	28.853	26.47	28.817	29.467	20.766	26.381	25.123	23.748	23.805	23.063	19.738	27.414	24.468	25.364	29.57	27.02	17.179	25.01	21.246	31.745	27.21	23.946	22.124	27.334	29.25	29.045	22.668
CD3E	22.787	23.994	30.632	24.254	26.06	30.212	27.507	24.858	26.742	21.011	25.156	27.875	24.516	23.702	22.945	18.853	26.204	24.131	25.56	26.961	26.751	16.862	24.31	20.091	31.531	29.635	22.444	24.354	25.631	29.297	27.197	21.775
CD3G	20.695	24.44	32.258	24.663	27.105	30.326	23.987	26.481	28.586	18.599	27.294	27.13	23.288	23.774	23.885	19.215	27.238	25.53	25.807	28.281	30.143	16.655	24.006	21.991	32.336	26.634	21.046	25.747	26.893	29.551	27.772	24.176
CD2	22.394	25.322	30.846	24.895	27.187	33.982	26.903	25.031	27.485	19.786	21.783	25.603	23.763	23.893	24.146	18.93	26.421	28.719	25.982	29.57	28.923	17.698	23.963	21.787	30.309	27.674	23.015	23.25	26.203	28.309	29.736	22.448
CD28	21.945	24.417	32.13	23.616	29.247	31.154	24.628	25.079	27.452	18.143	26.167	27.421	25.08	23.269	20.767	19.579	26.524	23.782	24.876	30.837	27.945	19.612	23.359	21.53	33.321	29.003	23.949	22.982	28.036	30.7	30.131	21.875
LCK	23.876	24.648	29.599	24.527	27.743	30.993	26.8	26.952	28.731	17.305	22.205	26.046	24.066	22.935	25.092	17.373	27.397	26.201	24.809	30.016	29.478	17.559	24.458	20.887	30.276	25.855	21.73	24.306	27.876	28.834	28.83	21.627
ZAP70	21.711	26.067	32.059	24.259	27.99	31.908	26.177	29.667	30.032	19.448	24.987	26.762	24.215	24.188	25.265	19.267	27.438	25.227	26.366	29.448	28.198	18.841	22.292	21.727	31.742	27.922	22.031	24.916	27.409	29.152	30.47	22.667
IL7R	21.865	26.617	33.749	25.501	26.506	32.272	25.897	27.524	30.095	21.53	23.419	26.27	22.186	21.946	23.483	21.043	26.134	25.303	24.363	31.652	27.024	19.853	23.798	20.654	30.579	31.263	22.603	24.638	25.902	27.806	28.896	21.009
CD7	23.889	22.87	31.009	23.788	29.332	32.267	25.235	28.984	29.671	20.868	23.71	27.279	23.265	24.667	24.307	20.738	26.262	21.986	23.358	27.916	29.017	18.09	22.995	18.507	32.256	28.226	22.487	22.41	26.656	27.216	28.572	20.292
TRAC	23.638	23.55	32.844	24.171	28.523	29.766	26.709	28.257	29.767	20.901	24.487	27.809	23.025	23.728	22.624	19.231	25.29	26.842	24.62	28.818	27.459	18.633	23.825	20.905	28.356	27.884	20.528	24.092	26.712	28.528	27.866	23.146
